UNIT;PLANT;COMPANY;MW;YEAR;FUEL;CITY;STATE;COUNTRY;CEC_PLANT_CODE;CEC_UNIT_CODE;COMMENT
HARBIN-1 NO 07;HARBIN-1;HUADIAN HARBIN THERMAL POWER;50;1963;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;NA;NA;
HARBIN-1 NO 07R;HARBIN-1;HUADIAN HARBIN THERMAL POWER;50;1987;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;NA;NA;
HARBIN-1 NO 08;HARBIN-1;HUADIAN HARBIN THERMAL POWER;100;1975;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;NA;NA;
HARBIN-1 NO 09;HARBIN-1;HUADIAN HARBIN THERMAL POWER;100;1976;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;NA;NA;
HARBIN-1 NO 10;HARBIN-1;HUADIAN HARBIN THERMAL POWER;300;2006;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;23001;7;
HARBIN-1 NO 11;HARBIN-1;HUADIAN HARBIN THERMAL POWER;300;2007;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;23001;8;
HARBIN-1 NO 12;HARBIN-1;HUADIAN HARBIN THERMAL POWER;350;2017;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;NA;NA;
HARBIN-1 NO 13;HARBIN-1;HUADIAN HARBIN THERMAL POWER;300;NA;COAL;Xiangfang  Dist - Harbin City;Heilongjiang;CHINA;NA;NA;
HARBIN-3 NO 1;HARBIN-3;CHINA HUADIAN GROUP CORP;220;1986;COAL;Harbin City;Heilongjiang;CHINA;23011;1;assumption based on correct numbering of later units
HARBIN-3 NO 2;HARBIN-3;CHINA HUADIAN GROUP CORP;220;1987;COAL;Harbin City;Heilongjiang;CHINA;23011;2;assumption based on correct numbering of later units
HARBIN-3 NO 3;HARBIN-3;CHINA HUADIAN GROUP CORP;600;1996;COAL;Harbin City;Heilongjiang;CHINA;23011;3;
HARBIN-3 NO 4;HARBIN-3;CHINA HUADIAN GROUP CORP;600;1999;COAL;Harbin City;Heilongjiang;CHINA;23011;4;
HEBEI ANFENG 1;HEBEI ANFENG;HEBEI ANFENG IRON AND STEEL CO;65;2018;COAL;Qinhuangdao City;Hebei;CHINA;NA;NA;
HEBEI HONGYUAN 1;HEBEI HONGYUAN;HEBEI CONSTR ENERGY INVEST CO;6;1989;COAL;Shijiazhuang City;Hebei;CHINA;NA;NA;
HEBEI HONGYUAN 2;HEBEI HONGYUAN;HEBEI CONSTR ENERGY INVEST CO;6;1989;COAL;Shijiazhuang City;Hebei;CHINA;NA;NA;
HEBEI HUAGE DYE 1;HEBEI HUAGE DYE;HEBEI HUAGE DYE CHEMICAL CO;3;NA;COAL;Dongguang County - Cangzhou City;Hebei;CHINA;NA;NA;
HEBEI LONGSHAN 1;HEBEI LONGSHAN;CHINA NATL ENERGY INVEST GROUP;600;2007;COAL;Longshan City;Hebei;CHINA;13010;1;
HEBEI LONGSHAN 2;HEBEI LONGSHAN;CHINA NATL ENERGY INVEST GROUP;600;2007;COAL;Longshan City;Hebei;CHINA;13010;2;
HEBEI SANHE 1;HEBEI SANHE;BEIJING ENERGY INVEST HOLDING;300;2007;COAL;Sanhe;Hebei;CHINA;NA;NA;maybe duplicate of SANHE
HEBEI SANHE 2;HEBEI SANHE;BEIJING ENERGY INVEST HOLDING;300;2007;COAL;Sanhe;Hebei;CHINA;NA;NA;maybe duplicate of SANHE
HEBEI WEIZHOU 1;HEBEI WEIZHOU;HEBEI WEIZHOU POWER RESOURCES;660;NA;COAL;Jingxing County - Shijiazhuang City;Hebei;CHINA;NA;NA;
HEBEI WEIZHOU 2;HEBEI WEIZHOU;HEBEI WEIZHOU POWER RESOURCES;660;NA;COAL;Jingxing County - Shijiazhuang City;Hebei;CHINA;NA;NA;
HEBI FENGHE-1 NO 1;HEBI FENGHE;HEBI FENGE POWER GEN CO LTD;210;1991;COAL;Hebi City;Henan;CHINA;NA;NA;likely other unit IDs
HEBI FENGHE-1 NO 2;HEBI FENGHE;HEBI FENGE POWER GEN CO LTD;210;1992;COAL;Hebi City;Henan;CHINA;NA;NA;likely other unit IDs
HEBI FENGHE-2 NO 1;HEBI FENGHE;HEBI FENGE POWER GEN CO LTD;300;2003;COAL;Hebi City;Henan;CHINA;41078;1;year a bit off, but probably still correct
HEBI FENGHE-2 NO 2;HEBI FENGHE;HEBI FENGE POWER GEN CO LTD;300;2003;COAL;Hebi City;Henan;CHINA;41078;2;year a bit off, but probably still correct
HEBI FENGHE-3 NO 1;HEBI FENGHE;HEBI FENGE POWER GEN CO LTD;600;2007;COAL;Hebi City;Henan;CHINA;41076;1;
HEBI FENGHE-3 NO 2;HEBI FENGHE;HEBI FENGE POWER GEN CO LTD;600;2007;COAL;Hebi City;Henan;CHINA;41076;2;
HEBI PLANT 1;HEBI PLANT;HEBI MINERAL AFFAIRS DEPT;12;NA;COAL;Hebi City;Henan;CHINA;NA;NA;
HEBI PLANT 2;HEBI PLANT;HEBI MINERAL AFFAIRS DEPT;12;NA;COAL;Hebi City;Henan;CHINA;NA;NA;
HEBIN 1;HEBIN;HEBIN POWER PLANT;150;2006;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEBIN 2;HEBIN;HEBIN POWER PLANT;150;2006;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEFEI JINYUAN 1;HEFEI JINYUAN;HEFEI THERMOELECTRIC GROUP CO;350;2020;COAL;Jinyuan Dist - Hefei City;Anhui;CHINA;NA;NA;
HEFEI JINYUAN 2;HEFEI JINYUAN;HEFEI THERMOELECTRIC GROUP CO;350;2020;COAL;Jinyuan Dist - Hefei City;Anhui;CHINA;NA;NA;
HEFEI LUJIANG 1;HEFEI LUJIANG;CHINA NATL ENERGY INVEST GROUP;660;2018;COAL;Lujiang County - Hefei City;Anhui;CHINA;NA;NA;
HEFEI LUJIANG 2;HEFEI LUJIANG;CHINA NATL ENERGY INVEST GROUP;660;2018;COAL;Lujiang County - Hefei City;Anhui;CHINA;NA;NA;
HEFEI-1 NO 1;HEFEI-1;ANHUI ELECTRIC POWER CO;25;1968;COAL;Hefei City;Anhui;CHINA;NA;NA;
HEFEI-1 NO 2;HEFEI-1;ANHUI ELECTRIC POWER CO;50;1969;COAL;Hefei City;Anhui;CHINA;NA;NA;
HEFEI-2 NO 1;HEFEI-2;WENERGY-ANHUI PROV ENERGY;125;1986;COAL;Feidong County - Hefei City;Anhui;CHINA;NA;NA;
HEFEI-2 NO 2;HEFEI-2;WENERGY-ANHUI PROV ENERGY;125;1992;COAL;Feidong County - Hefei City;Anhui;CHINA;NA;NA;
HEFEI-2 NO 3;HEFEI-2;WENERGY-ANHUI PROV ENERGY;350;2001;COAL;Feidong County - Hefei City;Anhui;CHINA;34014;1;
HEFEI-2 NO 4;HEFEI-2;WENERGY-ANHUI PROV ENERGY;350;2001;COAL;Feidong County - Hefei City;Anhui;CHINA;34014;2;
HEFEI-2 NO 5;HEFEI-2;WENERGY-ANHUI PROV ENERGY;630;2009;COAL;Feidong County - Hefei City;Anhui;CHINA;34003;1;only in newer versions of database - https://wenku.baidu.com/view/0abea8586d175f0e7cd184254b35eefdc8d3152d.html
HEFEI-2 NO 6;HEFEI-2;WENERGY-ANHUI PROV ENERGY;630;2013;COAL;Feidong County - Hefei City;Anhui;CHINA;NA;NA;
HEFENG (TACHENG) 1;HEFENG (TACHENG);CHINA NATL ENERGY INVEST GROUP;300;2012;COAL;Tacheng Prefecture - Ili Kazakh AP;Xinjiang;CHINA;NA;NA;
HEFENG (TACHENG) 2;HEFENG (TACHENG);CHINA NATL ENERGY INVEST GROUP;300;2012;COAL;Tacheng Prefecture - Ili Kazakh AP;Xinjiang;CHINA;NA;NA;
HEFENG (TACHENG) 3;HEFENG (TACHENG);CHINA NATL ENERGY INVEST GROUP;660;NA;COAL;Tacheng Prefecture - Ili Kazakh AP;Xinjiang;CHINA;NA;NA;
HEFENG (TACHENG) 4;HEFENG (TACHENG);CHINA NATL ENERGY INVEST GROUP;660;NA;COAL;Tacheng Prefecture - Ili Kazakh AP;Xinjiang;CHINA;NA;NA;
HEGANG 1;HEGANG;CHINA HUANENG GROUP CORP;300;1997;COAL;Dongshan  Dist - Hegang City;Heilongjiang;CHINA;NA;NA;
HEGANG 2;HEGANG;CHINA HUANENG GROUP CORP;300;1999;COAL;Dongshan  Dist - Hegang City;Heilongjiang;CHINA;NA;NA;
HEGANG 3;HEGANG;CHINA HUANENG GROUP CORP;600;2007;COAL;Dongshan  Dist - Hegang City;Heilongjiang;CHINA;NA;NA;
HEGANG 4;HEGANG;CHINA HUANENG GROUP CORP;600;NA;COAL;Dongshan  Dist - Hegang City;Heilongjiang;CHINA;NA;NA;
HEGANG 5;HEGANG;CHINA HUANENG GROUP CORP;600;NA;COAL;Dongshan  Dist - Hegang City;Heilongjiang;CHINA;NA;NA;
HEILONGJIANG HEGANG 1;HEILONGJIANG HEGANG;HEILONGJIANG HEGANG MINING;50;1991;COAL;Hegang City;Heilongjiang;CHINA;NA;NA;
HEILONGJIANG HEGANG 2;HEILONGJIANG HEGANG;HEILONGJIANG HEGANG MINING;50;1992;COAL;Hegang City;Heilongjiang;CHINA;NA;NA;
HEILONGJIANG HEGANG 5;HEILONGJIANG HEGANG;HEILONGJIANG HEGANG MINING;50;NA;COAL;Hegang City;Heilongjiang;CHINA;NA;NA;
HEILONGJIANG HEGANG 6;HEILONGJIANG HEGANG;HEILONGJIANG HEGANG MINING;50;NA;COAL;Hegang City;Heilongjiang;CHINA;NA;NA;
HEILONGJIANG QIQIHAR 1;HEILONGJIANG QIQIHAR;CHINA HUADIAN GROUP CORP;300;2007;COAL;Qiqihaer City;Heilongjiang;CHINA;23022;1;
HEILONGJIANG QIQIHAR 2;HEILONGJIANG QIQIHAR;CHINA HUADIAN GROUP CORP;300;2007;COAL;Qiqihaer City;Heilongjiang;CHINA;23022;2;
HEJIN-1 NO 1;HEJIN-1;SHANXI ZHANGZE ELECTRIC POWER;350;2000;COAL;Hejin City;Shanxi;CHINA;14022;1;
HEJIN-1 NO 2;HEJIN-1;SHANXI ZHANGZE ELECTRIC POWER;350;2000;COAL;Hejin City;Shanxi;CHINA;14022;2;
HEJIN-2 NO 1;HEJIN-2;SHANXI HUAZE ALUMINUM POWER CO;300;2005;COAL;Hejin City;Shanxi;CHINA;14022;3;
HEJIN-2 NO 2;HEJIN-2;SHANXI HUAZE ALUMINUM POWER CO;300;2005;COAL;Hejin City;Shanxi;CHINA;14022;4;
HENAN HEBI 1;HENAN HEBI;HENAN HEBI COAL POWER CO LTD;135;NA;COAL;Hebi City;Henan;CHINA;NA;NA;
HENAN HEBI 2;HENAN HEBI;HENAN HEBI COAL POWER CO LTD;135;NA;COAL;Hebi City;Henan;CHINA;NA;NA;
HENAN HUANGFU 1;HENAN HUANGFU;HENAN HUANGFU POWER PLANT;300;NA;COAL;Huangfu;Henan;CHINA;NA;NA;
HENAN HUANGFU 2;HENAN HUANGFU;HENAN HUANGFU POWER PLANT;300;NA;COAL;Huangfu;Henan;CHINA;NA;NA;
HENAN MENGDIAN 1;HENAN MENGDIAN;HENAN MENGDIAN GROUP;300;2011;COAL;Mengzhuang Town - Huixian City;Henan;CHINA;NA;NA;
HENAN MENGDIAN 2;HENAN MENGDIAN;HENAN MENGDIAN GROUP;300;2011;COAL;Mengzhuang Town - Huixian City;Henan;CHINA;NA;NA;
HENAN SHENHUO-1 NO 1;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;6;1971;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-1 NO 2;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;6;1973;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-1 NO 3;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;60;2004;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-1 NO 4;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;60;2004;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-1 NO 5;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;60;2005;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-1 NO 6;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;60;2005;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-1 NO 7;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;135;2002;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-2 NO 1;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;135;2004;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-2 NO 2;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;135;2008;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-2 NO 3;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;135;2008;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-4 NO 1;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;600;2011;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN SHENHUO-4 NO 2;HENAN SHENHUO;HENAN SHENHUO COAL & POWER CO;600;2012;COAL;Yongcheng County - Shangqiu City;Henan;CHINA;NA;NA;
HENAN XIN'AN-1 NO 1;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;25;1987;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-1 NO 2;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;25;1987;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-1 NO 3;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;25;1987;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-1 NO 4;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;25;1987;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-1 NO 5;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;55;1999;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-1 NO 6;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;55;1998;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-2 NO 1;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;135;2005;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-2 NO 2;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;135;2005;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-2 NO 3;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;135;2006;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-2 NO 4;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;135;2006;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-3 NO 1;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;330;2011;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-3 NO 2;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;330;2011;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-4 NO 1;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;600;NA;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XIN'AN-4 NO 2;HENAN XIN'AN;WANJI HOLDING GROUP CO LTD;600;NA;COAL;Xin'an County - Luoyang City;Henan;CHINA;NA;NA;
HENAN XINMI-1 NO 1;HENAN XINMI;BEIJING SANJILI ENERGY CO LTD;125;NA;COAL;Quiliang Town - Zhengzhou City;Henan;CHINA;NA;NA;
HENAN XINMI-1 NO 2;HENAN XINMI;BEIJING SANJILI ENERGY CO LTD;125;NA;COAL;Quiliang Town - Zhengzhou City;Henan;CHINA;NA;NA;
HENAN XINMI-2 NO 1;HENAN XINMI;BEIJING SANJILI ENERGY CO LTD;300;2006;COAL;Quiliang Town - Zhengzhou City;Henan;CHINA;NA;NA;
HENAN XINMI-2 NO 2;HENAN XINMI;BEIJING SANJILI ENERGY CO LTD;300;2007;COAL;Quiliang Town - Zhengzhou City;Henan;CHINA;NA;NA;
HENAN XINMI-2 NO 3;HENAN XINMI;BEIJING SANJILI ENERGY CO LTD;1000;2012;COAL;Quiliang Town - Zhengzhou City;Henan;CHINA;NA;NA;
HENAN XINMI-2 NO 4;HENAN XINMI;BEIJING SANJILI ENERGY CO LTD;1000;2012;COAL;Quiliang Town - Zhengzhou City;Henan;CHINA;NA;NA;
HENAN XINWANG 1;HENAN XINWANG;HENAN XINWANG POWER CO LTD;135;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN XINWANG 2;HENAN XINWANG;HENAN XINWANG POWER CO LTD;135;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YONGAN 1;HENAN YONGAN;ZHONGMAI INVEST GROUP CO LTD;100;NA;COAL;;Henan;CHINA;NA;NA;
HENAN YONGAN 2;HENAN YONGAN;ZHONGMAI INVEST GROUP CO LTD;100;NA;COAL;;Henan;CHINA;NA;NA;
HENAN YULIAN 1;HENAN YULIAN;HENAN YULIAN ENERGY GROUP CO;125;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN 2;HENAN YULIAN;HENAN YULIAN ENERGY GROUP CO;125;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN 3;HENAN YULIAN;HENAN YULIAN ENERGY GROUP CO;300;2004;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN 4;HENAN YULIAN;HENAN YULIAN ENERGY GROUP CO;300;2004;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN INDUSTRIAL 1;HENAN YULIAN INDUSTRIAL;HENAN YUYUAN HEAT AND POWER CO;6;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN INDUSTRIAL 2;HENAN YULIAN INDUSTRIAL;HENAN YUYUAN HEAT AND POWER CO;6;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN INDUSTRIAL 3;HENAN YULIAN INDUSTRIAL;HENAN YUYUAN HEAT AND POWER CO;12;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN INDUSTRIAL 4;HENAN YULIAN INDUSTRIAL;HENAN YUYUAN HEAT AND POWER CO;12;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENAN YULIAN INDUSTRIAL 5;HENAN YULIAN INDUSTRIAL;HENAN YUYUAN HEAT AND POWER CO;15;NA;COAL;Gongyi County - Zhengzhou  City;Henan;CHINA;NA;NA;
HENGFA 1;HENGFA;LONGYAN HENG POWER GENERATION;50;1995;COAL;Xinluo Dist - Longyan City;Fujian;CHINA;NA;NA;
HENGFA 2;HENGFA;LONGYAN HENG POWER GENERATION;50;1996;COAL;Xinluo Dist - Longyan City;Fujian;CHINA;NA;NA;
HENGFENG-1 NO 1;HENGFENG-1;CHINA NATL ENERGY INVEST GROUP;300;1995;COAL;Hengshui City;Hebei;CHINA;13013;1;
HENGFENG-1 NO 2;HENGFENG-1;CHINA NATL ENERGY INVEST GROUP;300;1996;COAL;Hengshui City;Hebei;CHINA;13013;2;
HENGFENG-2 NO 1;HENGFENG-2;CHINA RESOURCES POWER HOLDINGS;300;2004;COAL;Hengshui City;Hebei;CHINA;13013;3;
HENGFENG-2 NO 2;HENGFENG-2;CHINA RESOURCES POWER HOLDINGS;300;2005;COAL;Hengshui City;Hebei;CHINA;13013;4;
HENGLIAN WUCAIWAN 1;HENGLIAN WUCAIWAN;CHINA SHENHUA ENERGY CO LTD;660;2017;COAL;Jimsar County - Changji Hui AP;Xinjiang;CHINA;NA;NA;
HENGLIAN WUCAIWAN 2;HENGLIAN WUCAIWAN;CHINA SHENHUA ENERGY CO LTD;660;2017;COAL;Jimsar County - Changji Hui AP;Xinjiang;CHINA;NA;NA;
HENGLIAN WUCAIWAN 3;HENGLIAN WUCAIWAN;CHINA SHENHUA ENERGY CO LTD;660;NA;COAL;Jimsar County - Changji Hui AP;Xinjiang;CHINA;NA;NA;
HENGLIAN WUCAIWAN 4;HENGLIAN WUCAIWAN;CHINA SHENHUA ENERGY CO LTD;660;NA;COAL;Jimsar County - Changji Hui AP;Xinjiang;CHINA;NA;NA;
HENGSHAN JIANGSU 1;HENGSHAN JIANGSU;JIANGSU ELECTRIC POWER CORP;50;NA;COAL;Hengshan;Jiangsu;CHINA;NA;NA;
HENGSHAN JIANGSU 2;HENGSHAN JIANGSU;JIANGSU ELECTRIC POWER CORP;50;NA;COAL;Hengshan;Jiangsu;CHINA;NA;NA;
HENGSHAN SHAANXI 1;HENGSHAN SHAANXI;SHANXI DATANG INTL POWER GEN;12;1971;COAL;Hunyuan County;Shanxi;CHINA;NA;NA;
HENGSHAN SHAANXI 2;HENGSHAN SHAANXI;SHANXI DATANG INTL POWER GEN;12;1971;COAL;Hunyuan County;Shanxi;CHINA;NA;NA;
HENGSHUI 1;HENGSHUI HENGXING;HEBEI CONSTR ENERGY INVEST CO;300;2000;COAL;Hengshui City;Hebei;CHINA;NA;NA;
HENGSHUI 2;HENGSHUI HENGXING;HEBEI CONSTR ENERGY INVEST CO;300;2000;COAL;Hengshui City;Hebei;CHINA;NA;NA;
HENGSHUI 3;HENGSHUI HENGXING;HEBEI CONSTR ENERGY INVEST CO;300;2005;COAL;Hengshui City;Hebei;CHINA;NA;NA;
HENGSHUI 4;HENGSHUI HENGXING;HEBEI CONSTR ENERGY INVEST CO;300;2006;COAL;Hengshui City;Hebei;CHINA;NA;NA;
HENGSHUI CITY 6;HENGSHUI CITY;HENAN ELECTRIC POWER CORP;50;1974;COAL;Hengshui City;Henan;CHINA;NA;NA;
HENGSHUI CITY 7;HENGSHUI CITY;HENAN ELECTRIC POWER CORP;50;1975;COAL;Hengshui City;Henan;CHINA;NA;NA;
HENGWANG 1;HENGWANG;INN MONGOLIA WULAHOT HENGWANG;200;NA;COAL;Wulate Hou Qi - Bayannur City;Inner Mongolia;CHINA;NA;NA;
HENGWANG 2;HENGWANG;INN MONGOLIA WULAHOT HENGWANG;200;NA;COAL;Wulate Hou Qi - Bayannur City;Inner Mongolia;CHINA;NA;NA;
HENGYUN-A NO 1;HENGYUN-A;GUANGDONG ENERGY GROUP CO LTD;125;1995;COAL;Huangpu Dist - Guangzhou City;Guangdong;CHINA;NA;NA;
HENGYUN-C NO 1;HENGYUN-A;GUANGDONG ENERGY GROUP CO LTD;210;1998;COAL;Huangpu Dist - Guangzhou City;Guangdong;CHINA;71037;6;different numbering
HENGYUN-C NO 2;HENGYUN-A;GUANGDONG ENERGY GROUP CO LTD;210;2003;COAL;Huangpu Dist - Guangzhou City;Guangdong;CHINA;71037;7;different numbering
HENGYUN-D NO 1;HENGYUN-A;GUANGDONG ENERGY GROUP CO LTD;300;2005;COAL;Huangpu Dist - Guangzhou City;Guangdong;CHINA;71036;8;
HENGYUN-D NO 2;HENGYUN-A;GUANGDONG ENERGY GROUP CO LTD;300;2005;COAL;Huangpu Dist - Guangzhou City;Guangdong;CHINA;71036;9;
HEPO 1;HEPO;SHANXI INTL ELEC GROUP CO LTD;50;1991;COAL;Yangquan ETDZ - Yangquan City;Shanxi;CHINA;NA;NA;
HEPO 2;HEPO;SHANXI INTL ELEC GROUP CO LTD;50;1992;COAL;Yangquan ETDZ - Yangquan City;Shanxi;CHINA;NA;NA;
HEPO 3;HEPO;SHANXI INTL ELEC GROUP CO LTD;100;2000;COAL;Yangquan ETDZ - Yangquan City;Shanxi;CHINA;NA;NA;
HEPO 4;HEPO;SHANXI INTL ELEC GROUP CO LTD;100;2000;COAL;Yangquan ETDZ - Yangquan City;Shanxi;CHINA;NA;NA;
HEPO 5;HEPO;SHANXI INTL ELEC GROUP CO LTD;350;2016;COAL;Yangquan ETDZ - Yangquan City;Shanxi;CHINA;NA;NA;
HEPO 6;HEPO;SHANXI INTL ELEC GROUP CO LTD;350;2016;COAL;Yangquan ETDZ - Yangquan City;Shanxi;CHINA;NA;NA;
HEPUSHENG (NINGXIA) 1;HEPUSHENG (NINGXIA);HEPUSHENG (NINGXIA) ENERGY;80;NA;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEPUSHENG (NINGXIA) 2;HEPUSHENG (NINGXIA);HEPUSHENG (NINGXIA) ENERGY;80;NA;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEPUSHENG (NINGXIA) 3;HEPUSHENG (NINGXIA);HEPUSHENG (NINGXIA) ENERGY;80;NA;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEPUSHENG (NINGXIA) 4;HEPUSHENG (NINGXIA);HEPUSHENG (NINGXIA) ENERGY;80;NA;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEPUSHENG (NINGXIA) 5;HEPUSHENG (NINGXIA);HEPUSHENG (NINGXIA) ENERGY;80;NA;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEPUSHENG (NINGXIA) 6;HEPUSHENG (NINGXIA);HEPUSHENG (NINGXIA) ENERGY;80;NA;COAL;Shizuishan City;Ningxia Hui;CHINA;NA;NA;
HEQI 1;HEQI;HENAN INVESTMENT GROUP CO LTD;660;2015;COAL;Heqi County - Hebi City;Henan;CHINA;NA;NA;
HEQI 2;HEQI;HENAN INVESTMENT GROUP CO LTD;660;2016;COAL;Heqi County - Hebi City;Henan;CHINA;NA;NA;
HESHAN 01;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;25;1971;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 02;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;25;NA;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 03;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;25;NA;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 04;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;70;1986;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 05;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;70;1986;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 06;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;110;1986;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 07;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;110;1986;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 08;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;110;1986;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 09;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;330;2003;COAL;Heshan City;Guangxi;CHINA;NA;NA;
HESHAN 10;HESHAN;GUANGXI GUIGUAN ELEC POWER CO;330;2003;COAL;Heshan City;Guangxi;CHINA;NA;NA;
